Geo Name2,Measure for Color,TT Measure Count PA Total when Percent Selected,TT Measure Percent when Percent Selected,TT Legislator Sentence,TT LHS Measure PA Total when Percent Selected,TT LHS Measure when Density Selected,TT LHS Measure when Percent Selected,TT LHS Population when Density Selected,TT Newline when Density Selected,TT Newline when District Selected,TT Newline when Percent Selected,"TT Selected Measure, Mode, Univ",Geometry,Latitude (generated),Longitude (generated),TT Measure Count when Count Selected,TT Measure Count when Density Selected,TT Measure Count when Percent Selected,TT Measure Density when Density Selected,TT Population Number when Density Selected
Fulton County,0.013472550,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,39.947873644,-78.100306481,,2,,0.0%,"14,845"
Franklin County,0.226577016,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.057824718,-77.612628419,,339,,0.2%,"149,618"
Forest County,0.064800415,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,41.362904483,-79.174724295,,5,,0.1%,"7,716"
Fayette County,0.123713453,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.009218332,-79.656170892,,169,,0.1%,"136,606"
Erie County,0.186408902,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,42.145483637,-80.084000101,,523,,0.2%,"280,566"
Elk County,0.006260565,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,41.368833027,-78.965455602,,2,,0.0%,"31,946"
Delaware County,0.053490382,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,39.933129662,-75.342325097,,299,,0.1%,"558,979"
Dauphin County,0.052592316,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.318439376,-76.796787888,,141,,0.1%,"268,100"
Cumberland County,0.220045368,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.173909431,-77.215782825,,518,,0.2%,"235,406"
Crawford County,0.161099532,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,41.606358676,-80.031487248,,143,,0.2%,"88,765"
Columbia County,1.059514080,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.900758671,-76.490568264,,713,,1.1%,"67,295"
Clinton County,0.812987410,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,41.190516621,-77.593838578,,319,,0.8%,"39,238"
Clearfield County,0.051444110,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.906044923,-78.221193808,,42,,0.1%,"81,642"
Clarion County,1.102830849,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,41.035144589,-79.464661377,,441,,1.1%,"39,988"
Chester County,0.261382360,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,MultiPolygon,39.928177843,-75.842577810,,"1,304",,0.3%,"498,886"
Centre County,0.071433210,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.947777005,-78.101086640,,110,,0.1%,"153,990"
Carbon County,0.013793315,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,41.072338946,-75.678668759,,9,,0.0%,"65,249"
Cameron County,0.019665683,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,41.431075568,-78.223805149,,1,,0.0%,"5,085"
Cambria County,0.044543740,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.417268725,-78.729433406,,64,,0.0%,"143,679"
Butler County,0.296417966,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.938448429,-79.922771996,,545,,0.3%,"183,862"
Bucks County,0.006717324,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.292466154,-75.013018781,,42,,0.0%,"625,249"
Bradford County,0.044712721,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,41.780582047,-76.460933716,,28,,0.0%,"62,622"
Blair County,0.010229052,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.550144425,-78.271573229,,13,,0.0%,"127,089"
Berks County,0.148502098,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.464057217,-76.018388379,,611,,0.1%,"411,442"
Bedford County,0.008038262,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,39.995367754,-78.426858224,,4,,0.0%,"49,762"
Beaver County,0.015245780,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.615975153,-80.205805153,,26,,0.0%,"170,539"
Armstrong County,0.150853628,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.892050992,-79.477317639,,104,,0.2%,"68,941"
Allegheny County,0.039154844,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.477417635,-79.888162894,,479,,0.0%,"1,223,348"
Adams County,0.039445009,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,39.912388995,-77.021244279,,40,,0.0%,"101,407"
