Geo Name2,Measure for Color,TT Measure Count PA Total when Percent Selected,TT Measure Percent when Percent Selected,TT Legislator Sentence,TT LHS Measure PA Total when Percent Selected,TT LHS Measure when Density Selected,TT LHS Measure when Percent Selected,TT LHS Population when Density Selected,TT Newline when Density Selected,TT Newline when District Selected,TT Newline when Percent Selected,"TT Selected Measure, Mode, Univ",Geometry,Latitude (generated),Longitude (generated),TT Measure Count when Count Selected,TT Measure Count when Density Selected,TT Measure Count when Percent Selected,TT Measure Density when Density Selected,TT Population Number when Density Selected
Monroe County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,41.125884048,-75.454949254,,0,,0.0%,"169,842"
Mifflin County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.502944886,-77.734273355,,0,,0.0%,"46,682"
Mercer County,0.000857354,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,41.387096382,-80.239185504,,1,,0.0%,"116,638"
McKean County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,41.806080713,-78.595862205,,0,,0.0%,"43,450"
Lycoming County,0.015502407,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,41.338294346,-77.200285989,,18,,0.0%,"116,111"
Luzerne County,0.000311606,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,41.140059732,-75.700896423,,1,,0.0%,"320,918"
Lehigh County,0.000286125,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.676095416,-75.502891834,,1,,0.0%,"349,497"
Lebanon County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.343013370,-76.421305444,,0,,0.0%,"133,568"
Lawrence County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.987555153,-80.303164632,,0,,0.0%,"91,108"
Lancaster County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,39.947333567,-76.301250083,,0,,0.0%,"519,445"
Lackawanna County,0.000466337,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,41.243907580,-75.574137540,,1,,0.0%,"214,437"
Juniata County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.625425264,-77.104728313,,0,,0.0%,"24,636"
Jefferson County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,41.310395104,-79.078372623,,0,,0.0%,"45,200"
Indiana County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.454653794,-79.221483897,,0,,0.0%,"88,880"
Huntingdon County,0.002178032,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.505341805,-78.058874577,,1,,0.0%,"45,913"
Greene County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,39.954773486,-80.208941029,,0,,0.0%,"38,686"
Fulton County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,39.947873644,-78.100306481,,0,,0.0%,"14,845"
Franklin County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.057824718,-77.612628419,,0,,0.0%,"149,618"
Forest County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,41.362904483,-79.174724295,,0,,0.0%,"7,716"
Fayette County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.009218332,-79.656170892,,0,,0.0%,"136,606"
Erie County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,42.145483637,-80.084000101,,0,,0.0%,"280,566"
Elk County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,41.368833027,-78.965455602,,0,,0.0%,"31,946"
Delaware County,0,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,39.933129662,-75.342325097,,0,,0.0%,"558,979"
Dauphin County,0.000745990,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.318439376,-76.796787888,,2,,0.0%,"268,100"
Cumberland County,0.000424798,,,,,"
Employees = ",,Population = ,"
",,,Mansfield University Employee Density,Polygon,40.173909431,-77.215782825,,1,,0.0%,"235,406"
