Geo Name2,Measure for Color,TT Measure Count PA Total when Percent Selected,TT Measure Percent when Percent Selected,TT Legislator Sentence,TT LHS Measure PA Total when Percent Selected,TT LHS Measure when Density Selected,TT LHS Measure when Percent Selected,TT LHS Population when Density Selected,TT Newline when Density Selected,TT Newline when District Selected,TT Newline when Percent Selected,"TT Selected Measure, Mode, Univ",Geometry,Latitude (generated),Longitude (generated),TT Measure Count when Count Selected,TT Measure Count when Density Selected,TT Measure Count when Percent Selected,TT Measure Density when Density Selected,TT Population Number when Density Selected
Mifflin County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.502944886,-77.734273355,,0,,0.0%,"46,682"
Mercer County,0.000857354,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,41.387096382,-80.239185504,,1,,0.0%,"116,638"
McKean County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,41.806080713,-78.595862205,,0,,0.0%,"43,450"
Lycoming County,0.015502407,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,41.338294346,-77.200285989,,18,,0.0%,"116,111"
Luzerne County,0.000311606,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,41.140059732,-75.700896423,,1,,0.0%,"320,918"
Lehigh County,0.000286125,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.676095416,-75.502891834,,1,,0.0%,"349,497"
Lebanon County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.343013370,-76.421305444,,0,,0.0%,"133,568"
Lawrence County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.987555153,-80.303164632,,0,,0.0%,"91,108"
Lancaster County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,39.947333567,-76.301250083,,0,,0.0%,"519,445"
Lackawanna County,0.000466337,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,41.243907580,-75.574137540,,1,,0.0%,"214,437"
Juniata County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.625425264,-77.104728313,,0,,0.0%,"24,636"
Jefferson County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,41.310395104,-79.078372623,,0,,0.0%,"45,200"
Indiana County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.454653794,-79.221483897,,0,,0.0%,"88,880"
Huntingdon County,0.002178032,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.505341805,-78.058874577,,1,,0.0%,"45,913"
Greene County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,39.954773486,-80.208941029,,0,,0.0%,"38,686"
Fulton County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,39.947873644,-78.100306481,,0,,0.0%,"14,845"
Franklin County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.057824718,-77.612628419,,0,,0.0%,"149,618"
Forest County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,41.362904483,-79.174724295,,0,,0.0%,"7,716"
Fayette County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.009218332,-79.656170892,,0,,0.0%,"136,606"
Erie County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,42.145483637,-80.084000101,,0,,0.0%,"280,566"
Elk County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,41.368833027,-78.965455602,,0,,0.0%,"31,946"
Delaware County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,39.933129662,-75.342325097,,0,,0.0%,"558,979"
Dauphin County,0.000745990,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.318439376,-76.796787888,,2,,0.0%,"268,100"
Cumberland County,0.000424798,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.173909431,-77.215782825,,1,,0.0%,"235,406"
Crawford County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,41.606358676,-80.031487248,,0,,0.0%,"88,765"
Columbia County,0.001485995,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.900758671,-76.490568264,,1,,0.0%,"67,295"
Clinton County,0.002548550,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,41.190516621,-77.593838578,,1,,0.0%,"39,238"
Clearfield County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.906044923,-78.221193808,,0,,0.0%,"81,642"
Clarion County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,41.035144589,-79.464661377,,0,,0.0%,"39,988"
Chester County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,MultiPolygon,39.928177843,-75.842577810,,0,,0.0%,"498,886"
Centre County,0.001298786,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.947777005,-78.101086640,,2,,0.0%,"153,990"
Carbon County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,41.072338946,-75.678668759,,0,,0.0%,"65,249"
Cameron County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,41.431075568,-78.223805149,,0,,0.0%,"5,085"
Cambria County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.417268725,-78.729433406,,0,,0.0%,"143,679"
Butler County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.938448429,-79.922771996,,0,,0.0%,"183,862"
Bucks County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.292466154,-75.013018781,,0,,0.0%,"625,249"
Bradford County,0.043115838,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,41.780582047,-76.460933716,,27,,0.0%,"62,622"
Blair County,0.000786850,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.550144425,-78.271573229,,1,,0.0%,"127,089"
Berks County,0.000243048,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.464057217,-76.018388379,,1,,0.0%,"411,442"
Bedford County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,39.995367754,-78.426858224,,0,,0.0%,"49,762"
Beaver County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.615975153,-80.205805153,,0,,0.0%,"170,539"
Armstrong County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.892050992,-79.477317639,,0,,0.0%,"68,941"
Allegheny County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,40.477417635,-79.888162894,,0,,0.0%,"1,223,348"
Adams County,0,,,,,"Employees = ",,Population = ,"",,,Mansfield University Employee Density,Polygon,39.912388995,-77.021244279,,0,,0.0%,"101,407"
York County,0.017012589,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.033432172,-76.754749167,,74,,0.0%,"434,972"
Wyoming County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.579349487,-75.862019206,,0,,0.0%,"28,276"
Westmoreland County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.313450865,-79.506523953,,0,,0.0%,"365,169"
Wayne County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.546551696,-75.264144198,,0,,0.0%,"52,822"
Washington County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.020552528,-80.196025302,,0,,0.0%,"207,820"
Warren County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.812756930,-79.363178876,,0,,0.0%,"41,815"
Venango County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.335855494,-79.771667743,,0,,0.0%,"54,984"
Union County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.944856587,-76.910630069,,0,,0.0%,"44,947"
Tioga County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.630444339,-76.986831862,,0,,0.0%,"41,981"
Susquehanna County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.774656308,-75.829930446,,0,,0.0%,"43,356"
Sullivan County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.449271452,-76.502009733,,0,,0.0%,"6,428"
Somerset County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,39.974114193,-79.169025838,,0,,0.0%,"77,742"
Snyder County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.749785155,-76.976907133,,0,,0.0%,"39,702"
Schuylkill County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.629046424,-76.213267026,,0,,0.0%,"148,289"
Potter County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.792119085,-77.900299137,,0,,0.0%,"17,457"
Pike County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.352344900,-75.105455574,,0,,0.0%,"57,369"
Philadelphia County,6.553054182e-05,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,39.995617893,-75.163582103,,1,,0.0%,"1,526,006"
Perry County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.383331048,-77.195268160,,0,,0.0%,"45,969"
Northumberland County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.872409740,-76.764025814,,0,,0.0%,"94,528"
Northampton County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.738910095,-75.270182086,,0,,0.0%,"297,735"
Montour County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.977849053,-76.617523040,,0,,0.0%,"18,267"
Montgomery County,0.000125020,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.157451780,-75.407954324,,1,,0.0%,"799,874"
Monroe County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.125884048,-75.454949254,,0,,0.0%,"169,842"
Mifflin County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.502944886,-77.734273355,,0,,0.0%,"46,682"
Mercer County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.387096382,-80.239185504,,0,,0.0%,"116,638"
McKean County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.806080713,-78.595862205,,0,,0.0%,"43,450"
Lycoming County,0.001722490,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.338294346,-77.200285989,,2,,0.0%,"116,111"
Luzerne County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.140059732,-75.700896423,,0,,0.0%,"320,918"
Lehigh County,0.000858376,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.676095416,-75.502891834,,3,,0.0%,"349,497"
Lebanon County,0.009732870,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.343013370,-76.421305444,,13,,0.0%,"133,568"
Lawrence County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.987555153,-80.303164632,,0,,0.0%,"91,108"
Lancaster County,0.168256505,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,39.947333567,-76.301250083,,874,,0.2%,"519,445"
Lackawanna County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.243907580,-75.574137540,,0,,0.0%,"214,437"
Juniata County,0.004059101,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.625425264,-77.104728313,,1,,0.0%,"24,636"
Jefferson County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.310395104,-79.078372623,,0,,0.0%,"45,200"
Indiana County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.454653794,-79.221483897,,0,,0.0%,"88,880"
Huntingdon County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.505341805,-78.058874577,,0,,0.0%,"45,913"
Greene County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,39.954773486,-80.208941029,,0,,0.0%,"38,686"
Fulton County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,39.947873644,-78.100306481,,0,,0.0%,"14,845"
Franklin County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.057824718,-77.612628419,,0,,0.0%,"149,618"
Forest County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.362904483,-79.174724295,,0,,0.0%,"7,716"
Fayette County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.009218332,-79.656170892,,0,,0.0%,"136,606"
Erie County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,42.145483637,-80.084000101,,0,,0.0%,"280,566"
Elk County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.368833027,-78.965455602,,0,,0.0%,"31,946"
Delaware County,0.000536693,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,39.933129662,-75.342325097,,3,,0.0%,"558,979"
Dauphin County,0.012308840,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.318439376,-76.796787888,,33,,0.0%,"268,100"
Cumberland County,0.006371970,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.173909431,-77.215782825,,15,,0.0%,"235,406"
Crawford County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.606358676,-80.031487248,,0,,0.0%,"88,765"
Columbia County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.900758671,-76.490568264,,0,,0.0%,"67,295"
Clinton County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.190516621,-77.593838578,,0,,0.0%,"39,238"
Clearfield County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.906044923,-78.221193808,,0,,0.0%,"81,642"
Clarion County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.035144589,-79.464661377,,0,,0.0%,"39,988"
Chester County,0.004610272,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,MultiPolygon,39.928177843,-75.842577810,,23,,0.0%,"498,886"
Centre County,0.000649393,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.947777005,-78.101086640,,1,,0.0%,"153,990"
Carbon County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.072338946,-75.678668759,,0,,0.0%,"65,249"
Cameron County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.431075568,-78.223805149,,0,,0.0%,"5,085"
Cambria County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.417268725,-78.729433406,,0,,0.0%,"143,679"
Butler County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.938448429,-79.922771996,,0,,0.0%,"183,862"
Bucks County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.292466154,-75.013018781,,0,,0.0%,"625,249"
Bradford County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,41.780582047,-76.460933716,,0,,0.0%,"62,622"
Blair County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.550144425,-78.271573229,,0,,0.0%,"127,089"
Berks County,0.003645714,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.464057217,-76.018388379,,15,,0.0%,"411,442"
Bedford County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,39.995367754,-78.426858224,,0,,0.0%,"49,762"
Beaver County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.615975153,-80.205805153,,0,,0.0%,"170,539"
Armstrong County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.892050992,-79.477317639,,0,,0.0%,"68,941"
Allegheny County,0,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,40.477417635,-79.888162894,,0,,0.0%,"1,223,348"
Adams County,0.003944501,,,,,"Employees = ",,Population = ,"",,,Millersville University Employee Density,Polygon,39.912388995,-77.021244279,,4,,0.0%,"101,407"
York County,0.001609299,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.033432172,-76.754749167,,7,,0.0%,"434,972"
Wyoming County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,41.579349487,-75.862019206,,0,,0.0%,"28,276"
Westmoreland County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.313450865,-79.506523953,,0,,0.0%,"365,169"
Wayne County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,41.546551696,-75.264144198,,0,,0.0%,"52,822"
Washington County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.020552528,-80.196025302,,0,,0.0%,"207,820"
Warren County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,41.812756930,-79.363178876,,0,,0.0%,"41,815"
Venango County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,41.335855494,-79.771667743,,0,,0.0%,"54,984"
Union County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.944856587,-76.910630069,,0,,0.0%,"44,947"
Tioga County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,41.630444339,-76.986831862,,0,,0.0%,"41,981"
Susquehanna County,0.002306486,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,41.774656308,-75.829930446,,1,,0.0%,"43,356"
Sullivan County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,41.449271452,-76.502009733,,0,,0.0%,"6,428"
Somerset County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,39.974114193,-79.169025838,,0,,0.0%,"77,742"
Snyder County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.749785155,-76.976907133,,0,,0.0%,"39,702"
Schuylkill County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.629046424,-76.213267026,,0,,0.0%,"148,289"
Potter County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,41.792119085,-77.900299137,,0,,0.0%,"17,457"
Pike County,0.001743102,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,41.352344900,-75.105455574,,1,,0.0%,"57,369"
Philadelphia County,0.000131061,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,39.995617893,-75.163582103,,2,,0.0%,"1,526,006"
Perry County,0.021753791,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.383331048,-77.195268160,,10,,0.0%,"45,969"
Northumberland County,0.001057888,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.872409740,-76.764025814,,1,,0.0%,"94,528"
Northampton County,0.000335869,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.738910095,-75.270182086,,1,,0.0%,"297,735"
Montour County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.977849053,-76.617523040,,0,,0.0%,"18,267"
Montgomery County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.157451780,-75.407954324,,0,,0.0%,"799,874"
Monroe County,0.000588783,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,41.125884048,-75.454949254,,1,,0.0%,"169,842"
Mifflin County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.502944886,-77.734273355,,0,,0.0%,"46,682"
Mercer County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,41.387096382,-80.239185504,,0,,0.0%,"116,638"
McKean County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,41.806080713,-78.595862205,,0,,0.0%,"43,450"
Lycoming County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,41.338294346,-77.200285989,,0,,0.0%,"116,111"
Luzerne County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,41.140059732,-75.700896423,,0,,0.0%,"320,918"
Lehigh County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.676095416,-75.502891834,,0,,0.0%,"349,497"
Lebanon County,0.002246047,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.343013370,-76.421305444,,3,,0.0%,"133,568"
Lawrence County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.987555153,-80.303164632,,0,,0.0%,"91,108"
Lancaster County,0.001925132,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,39.947333567,-76.301250083,,10,,0.0%,"519,445"
Lackawanna County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,41.243907580,-75.574137540,,0,,0.0%,"214,437"
Juniata County,0.008118201,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.625425264,-77.104728313,,2,,0.0%,"24,636"
Jefferson County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,41.310395104,-79.078372623,,0,,0.0%,"45,200"
Indiana County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.454653794,-79.221483897,,0,,0.0%,"88,880"
Huntingdon County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.505341805,-78.058874577,,0,,0.0%,"45,913"
Greene County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,39.954773486,-80.208941029,,0,,0.0%,"38,686"
Fulton County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,39.947873644,-78.100306481,,0,,0.0%,"14,845"
Franklin County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.057824718,-77.612628419,,0,,0.0%,"149,618"
Forest County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,41.362904483,-79.174724295,,0,,0.0%,"7,716"
Fayette County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,40.009218332,-79.656170892,,0,,0.0%,"136,606"
Erie County,0,,,,,"Employees = ",,Population = ,"",,,Office of the Chancellor Employee Density,Polygon,42.145483637,-80.084000101,,0,,0.0%,"280,566"
